,text,tanggal,bahasa
508,"Vaksin 1&amp;2  ☑️
Vaksin booster ☑️
Vaksin influenza ☑️
Injeksi rutin vitamin ☑️
Lama-lama jadi ultramen ini mah
Untung dapet gratisan semua dari tempat kerja 
Jadi duitnya bisa buat bucin oppa 🤤 https://t.co/rUPu4ku3q3",2022-02-12 02:28:13+00:00,in
509,"@zakarachman_ Alhamdulillah, doain aku bisa vaksin booster juga dlm waktu dekat 😂🥲",2022-02-12 02:27:16+00:00,in
510,"kalo mau vaksin booster bisa ga ya 🙃
gw batuk sebulan lebih, uda swab 2x beda tempat hasilnya negatif semua.. 4 hari ini tambah pilek terus batuknya juga makin parah, kecapekan karna baru mulai kerja..
ayo dong moots gw yg paham kasi tanggapan🙏🙏",2022-02-12 02:27:11+00:00,in
511,@BaleBengong utk yg mau vaksin dosis 3/booster bs daftar ya. Saya sdh vaksin di sini dgn pelayanan ramah dan cepat. Semoga membantu. https://t.co/qha3n9unLb,2022-02-12 02:26:44+00:00,in
513,"@nar_3300 Vaksin 2 x + booster tidak akurat menangkal corona. Pcr 1x ga akurat harus 2 x, kaga gw bilang b@ji*gan udah kebagusan",2022-02-12 02:26:18+00:00,in
514,Akhirnya vaksin booster jugaa😆,2022-02-12 02:24:23+00:00,in
515,Percobaan kedua mendapatkan vaksin booster yang katanya sudah tersedia dimana saja di faskes atau puskesmas terdekat.Hasilnya nihil. Kalau ada nanti dikabarin ke RT. Di puskesmas Cibungur purwakarta katanya masih untuk aparat saja.Huft... Piye iki @KemenkesRI #vaksinbooster https://t.co/X6GuvzCFcu,2022-02-12 02:23:30+00:00,in
516,@hafsalele Vaksin booster apa sah?,2022-02-12 02:22:39+00:00,in
519,"Tingkatkan Kekebalan Tubuh, Karyawan PT Mamuang di Vaksin Booster : https://t.co/4ImpTHN7rq",2022-02-12 02:19:37+00:00,in
520,Vaksin booster dinyatakan aman sudah teruji. Nusantara Loh Jinawi https://t.co/guXDSMAqhI,2022-02-12 02:19:28+00:00,in
521,"Demam dan pegel badan efek vaksin booster + haid hari pertama.
Heaven ✨😇",2022-02-12 02:19:22+00:00,in
522,"Peroleh Izin Penggunaan Darurat, Vaksin Sinopharm Boleh Untuk Booster Homolog https://t.co/S9W9WDcEZs",2022-02-12 02:18:03+00:00,in
523,Bismillah vaksin booster,2022-02-12 02:17:03+00:00,tr
524,"Pemerintah Kecamatan Cikampek terus berupaya menggenjot capaian vaksinasi warganya, baik vaksin tahap 1 atau 2 maupun capaian vaksinasi booster.  https://t.co/x2cKEqiJUR",2022-02-12 02:16:39+00:00,in
525,"Masyarakat jangan termakan hoax
Vaksin booster dipastikan aman
Nusantara Loh Jinawi https://t.co/QAi8DGfjb6",2022-02-12 02:15:29+00:00,in
526,"Australia Definisikan Penerima Vaksin Lengkap, Sudah Disuntik Booster https://t.co/VTrjc9AnAN",2022-02-12 02:14:35+00:00,in
528,Vaksin booster aman. Nusantara Loh Jinawi https://t.co/T4ViJ6X1sT,2022-02-12 02:14:05+00:00,in
529,maksain bgt vaksin booster dikala tensi rendah :),2022-02-12 02:14:03+00:00,in
530,https://t.co/UvxrvgRxYI,2022-02-12 02:13:41+00:00,und
531,Kimia Farma: Masyarakat sudah bisa mendapatkan vaksin booster Sinopharm https://t.co/u75gnKslbx,2022-02-12 02:13:26+00:00,in
532,"Udah hari ke 2 setelah vaksin booster, tapi masih ngerasa lemes pusing mual😭😭😭",2022-02-12 02:11:13+00:00,in
533,"RT @mulmed_respml: Kemenkes Terbitkan Sertifikat Vaksin Covid-19 Internasional Sesuai Standar WHO 

Sumber : @lawancovid19_id

#SinergiCega…",2022-02-12 02:11:08+00:00,in
534,Puji Tuhan udah vaksin booster 🙏🏻,2022-02-12 02:10:43+00:00,in
535,@pemkotbekasi Min vaksin booster bekasi dimana saja yang Sabtu buka?,2022-02-12 02:09:06+00:00,in
536,"Dose 1- Astrazeneca
Does 2- Astrazeneca
Booster-Pfizer

Merasa la vaksin kayangan. 😌",2022-02-12 02:09:03+00:00,sl
537,Vaksin booster aman tak perlu lagi menunda... Nusantara Loh Jinawi https://t.co/naN8dYDWHo,2022-02-12 02:09:03+00:00,in
538,Setelah vaksin pertama dan kedua pake sinovac gaada efek apapun dan vaksin booster pake AZ wow badan berasa langsung jadi zombie 🧟‍♀️🧟‍♀️,2022-02-12 02:08:19+00:00,in
540,"@minhykii @chaerrotjooice Bruaakakka ga kebayang gue pake hitam glossy kayak anak monek era alligator 🤣🤣

Iyaa di, semangaaat
Gue juga, ini mau vaksin booster",2022-02-12 02:07:19+00:00,in
541,"Masyarakat jangan termakan hoax
Vaksin booster dipastikan aman
Nusantara Loh Jinawi https://t.co/MZaEFXA8Ny",2022-02-12 02:06:50+00:00,in
542,Akademisi Muslim Tetap Dorong Vaksin Halal untuk Booster https://t.co/N8vWAFdnX7,2022-02-12 02:06:13+00:00,in
543,"RT @BuKasunNdeso: @SumandoGaek Yakin 2x dah akurat ?
Vaksin aja katanya 2x dah full dosis tyt ada booster 3 dan 4.

Masih percaya? Kan dah…",2022-02-12 02:05:35+00:00,in
544,"Gubernur Kalteng imbau masyarakat tak perlu takut vaksin booster,
Nusantara Loh Jinawi https://t.co/1QKGfkLpiS",2022-02-12 02:03:44+00:00,in
545,Vaksin booster nih bener-bener setengah mati😩,2022-02-12 02:01:59+00:00,in
546,"RT @JuliaYuliaG: Mari teman-teman, yang perlu booster di hari Valentine dan sesudahnya ini ada informasinya 😍 di sana juga masih ada vaksin…",2022-02-12 02:01:04+00:00,in
547,"Pemerintah dinilai memiliki tanggung jawab memberikan vaksin halal kepada masyarakat. Baik untuk dosis kedua maupun dosis ketiga atau booster. Sementara vaksin booster disebut belum berlabel halal.
_
Baca selengkapnya di https://t.co/enTuyJIMXD

#VIVACOID https://t.co/igbjgT2Hqo",2022-02-12 02:00:04+00:00,in
548,"@treasuremembers pagi ji, dari aku yg sakit badan karna vaksin booster😔",2022-02-12 01:58:23+00:00,in
549,vaksin booster at komplek pamper ax/bx #Tangsel https://t.co/49BmIxXEJg,2022-02-12 01:57:58+00:00,und
550,"Lonjakan Pandemi Omicron ""Mengerikan"", Ayo segera mulai tgl. 12 Januari 2022 dari anak 6 s/d 11 thn dilakukan suntik Vaksin Pandemi Covid-19, Melaksanakan Pesan Pres @jokowi Diadakan suntik ke 3 Vaksin booster secara gratis untuk seluruh masyarakat. #KesehatanPulihEkonomBangkit https://t.co/6dhT16NsBa https://t.co/Y2rYQJX76U",2022-02-12 01:57:29+00:00,in
551,@ykzr @sirupmrjan efeknya gimana kak setelah vaksin booster?,2022-02-12 01:57:13+00:00,in
552,"pagi rek, mau nanyaaa.. kan aku sama temenku mau booster vaksin yang diadain ika -uner, terus temenku itu belum pas 6 bulan alias kurang 10 harian lah, gitu itu boleh ga ya? no salty yaa beneran gatau, tia!",2022-02-12 01:55:00+00:00,in
553,"Warning WHO Waspada Gelombng ke 3, Varian Delta + &amp; A.Y.4.2 Serta Omicron B.1.1.5.529 Sudah masuk Indonesia mengintai keluarga di rumah. Anak berumur 6 s/d 11 thn segera Vaksin &amp; Vaksin ke 3 booster utk rakyat scr gratis tgl. 12/1, Update C-19, 11/02/ '22. Semua #wajibpakaimasker https://t.co/Z7ihFC0o1h https://t.co/2jcXlMgCSh",2022-02-12 01:54:36+00:00,in
554,"Booster Diklaim Manjur, Sinovac Siapkan Vaksin Khusus Lawan Omicron https://t.co/JxSLw360QT #Terbaru #booster #diklaim #khusus #lawan",2022-02-12 01:54:32+00:00,in
555,Mau vaksin booster eh bingung dimana :(,2022-02-12 01:54:23+00:00,in
556,"Kehadiran Covid-19 dengan varian baru Omicron, menimbulkan banyak pertanyaan di masyarakat. 

Yuk! Kupas Tuntas Omicron &amp; Vaksin Booster bareng dr. Adam Prabata yang ditemani moderator cantik dr. Syarifah Jannatin Aliyah. 

Don't miss it yaa Sob

#AktivitasTanpaBatas
#Omicron https://t.co/a880qffxCJ",2022-02-12 01:54:12+00:00,in
558,"Kenapa semua orang dah dapat appointment booster termasuk adik² aku semua, tapi aku sorang je tak dapat lagi ek? Sebab aku buat checkup gara² sakit kepala tak hilang² lepas vaksin dulu tu ke dia hold? 🤣🤣🤣 nak pergi walkin pun seram ni..",2022-02-12 01:53:03+00:00,in
559,"Tumben pagi2 wes nguuuantuk berat
Masa iya efek vaksin booster",2022-02-12 01:52:54+00:00,in
560,@thestolenart_ Abis vaksin booster?,2022-02-12 01:51:47+00:00,tr
561,"@DGHisham mintak KP pantau cprc yg lembab buat kerja dalam menyelesaikan masalah mysejahtera mak saya. Di sini saya sertakan no.aduan saya 
Tiket Id:MOH.146887
Tarikh Hantar:26/12/2021
Untuk pengetahuan menteri mak saya guna vaksin sinovac dan sudah ambil booster.",2022-02-12 01:51:10+00:00,in
562,@MASJUNCHIC_ Vaksin booster dut?,2022-02-12 01:51:07+00:00,nl
563,@DKIJakarta : Min tolong info lokasi vaksin booster moderna di Jakarta ding,2022-02-12 01:50:23+00:00,in
564,"[tf] info tempat vaksin booster dong gaes, thankyou.",2022-02-12 01:49:15+00:00,en
565,"Tolong @KemenkesRI atau siapapun yg berwenang tentang updating data di Peduli Lindungi, mbok ya on time kalo release tiket vaksinnya. Saya 2x mundur dari lokasi vaksin booster (1, ternyata blm tanggal, kukira patokannya cuma 6 bulan.. 2, di hari H pun tiket blm keluar).",2022-02-12 01:48:58+00:00,in
566,"@catnipsan Vaksin booster nya apaa btw? Kalo moderna/pfizer setau aku sih not that hard kok, tp kembali ke individu masing2 yaa 😁",2022-02-12 01:48:37+00:00,in
567,RT @MandaFA_: Booster ngaruh bgt di aku. Padahal vaksin 1 &amp; 2 gak mgefek apa2. Abis di suntik enak sih tangannya gpp gak ngilu kalo dipake…,2022-02-12 01:48:24+00:00,in
569,Semoga gk demam abis vaksin booster https://t.co/PhpSB8LxNl,2022-02-12 01:45:41+00:00,in
570,Yg udah Vaksin + booster klu liat beginian bilang hoax gak ye 🤔 https://t.co/yJejHdvSr2,2022-02-12 01:45:27+00:00,in
571,"@gaksukasoto Ak mah udh booster dari lama sejak booster diluncurkan bagi nakes2 kak. Kebagian moderna dan uhhh.. di vaksin 1 ama 2 lewat tanpa gejala. Moderna bener2 kerasa pegel, hawanya demam tapi klo di cek suhu tuh normal, trus nafsu makan ilang. Mie instant aja cuman abs 1/2.",2022-02-12 01:45:22+00:00,in
572,Akademisi Muslim Tetap Dorong Vaksin Halal untuk Booster https://t.co/cHTsZRvP8Q,2022-02-12 01:45:17+00:00,in
574,pgn di vaksin booster dehhhh,2022-02-12 01:43:12+00:00,in
575,@Lemp3r 1 &amp; 2 vaksin apa bu? Booster apa? Tq,2022-02-12 01:42:46+00:00,in
576,"Mari teman-teman, yang perlu booster di hari Valentine dan sesudahnya ini ada informasinya 😍 di sana juga masih ada vaksin 1 &amp; 2 bila diperlukan. Have a good weekend, friends 🙏😃
cc @BaleBengong https://t.co/tc9PqP6Lpl",2022-02-12 01:42:19+00:00,in
577,"Ini efek sampingnya vaksin booster masih aja kerala sampe sekarang, kapan kelarnya juga 😑",2022-02-12 01:42:18+00:00,in
578,"Gubernur kaltara imbau masyarakat tidak perlu takut vaksin booster
Nusantara Loh Jinawi https://t.co/YxFZHUErq3",2022-02-12 01:40:28+00:00,in
579,@ErfinNazir @pokamiamii23 @NovacN27 @AbraraBryan @kiitokatto eehhh btw menurut yg di nikkei itu harus vaksin booster ya?,2022-02-12 01:40:14+00:00,in
580,"VAKSIN DI MAKESDAM (google map https://t.co/9JlM7t0Ksa)
VAKSIN BOOSTER, 
JANGKA WAKTU VAKSIN 2 KE VAKSIN 3 MINIMAL 6 BULAN DAN BERUSIA 18 TAHUN
MENERIMA VAKSIN 1 DAN 2 DEWASA

HARI SENIN DAN SELASA TANGGAL 14 DAN 15 PEBRUARI 2022

LINK DAFTAR 
https://t.co/Za3N0CAwzB",2022-02-12 01:40:07+00:00,in
581,"@temanusiasilver iyaa, emg waktu itu vaksin booster adanya di puskesmas gambiran aja",2022-02-12 01:37:46+00:00,in
582,Hari ini mau vaksin booster malah sakit😭,2022-02-12 01:37:24+00:00,in
583,goblouq adalah gamau vaksin booster dengan alasan cukup vaksin 1&amp;2 aja WKAKAKKAKAK LMAO,2022-02-12 01:35:52+00:00,in
584,"Akhirnya kelar vaksin booster, tinggal nunggu efek laper/ngantuknya👌",2022-02-12 01:35:24+00:00,in
585,Akhirnya vaksin booster juga! 🥺 https://t.co/ACiDJEev2f,2022-02-12 01:34:50+00:00,in
586,RT @RachmatW_RW: Yth @satgascovid19id @KemenkesRI Istri saya penerima vaksin sinopharm (sdh dosis lengkap) melalui program dr Bank Mandiri.…,2022-02-12 01:33:46+00:00,in
587,pagi moots aku mau vaksin booster😓,2022-02-12 01:33:24+00:00,in
588,"Suami Vaksin Booster, Istri Minta Cerai https://t.co/s1N65UTLGe #CeraiAkibatVaksin #Covid19 #SelandiaBaru #vaksinasi",2022-02-12 01:32:52+00:00,in
589,"Alasan buru² vaksin booster:

Tidak egois dan peduli sekitar ❌
Diultimatum gadiajak liburan pacar ✔ https://t.co/e45PjtJjAO",2022-02-12 01:32:50+00:00,in
590,"Vaksin booster gercep bener slotnya abis, jadwal yg dikasi jam 7 Dateng jam 7 kuota abis 😱",2022-02-12 01:31:37+00:00,in
591,Warga Australia Harus di Vaksin Booster Jika Ingin Mendapat Kategori Vaksin Lengkap https://t.co/8HM0Oac08w,2022-02-12 01:31:03+00:00,in
592,"Booster Diklaim Manjur, Sinovac Siapkan Vaksin Khusus Lawan Omicron https://t.co/SkGKCxqXNs #Terbaru #berita #booster #diklaim",2022-02-12 01:29:06+00:00,in
593,"Vaksin booster Malang Raya, where are youu",2022-02-12 01:28:43+00:00,en
595,Vaksin Dosis 3 #Booster 😎😎😎 @ Sikur https://t.co/Um64T9fFEj,2022-02-12 01:27:14+00:00,et
596,ada yg tau gaa cara ngurus vaksin booster via pedulilindungi,2022-02-12 01:25:58+00:00,in
597,Vaksin booster 😰🤢,2022-02-12 01:24:42+00:00,et
598,Kimia Farma: Vaksin Covid-19 Booster Sinopharm Sudah Bisa Didapatkan https://t.co/eycscG5tU6,2022-02-12 01:23:22+00:00,in
599,udah vaksin booster tanggal 3 Februari lalu tapi sertifikatnya kok belum muncul ya di @PLindungi ?,2022-02-12 01:22:31+00:00,in
600,@Mineral_Clay Gk gitu malihhh wkwkwkwkwk... ini habis vaksin booster aja jd drop,2022-02-12 01:21:46+00:00,in
601,Kimia Farma: Vaksin Covid-19 Booster Sinopharm Sudah Bisa Didapatkan https://t.co/bQjpX3ptMr,2022-02-12 01:21:03+00:00,in
602,@PRFMnews @praditaoktvr Pinuh wae jeng peraturan na rubah2 wae jumlah per hari na nu mau di vaksin booster.,2022-02-12 01:20:42+00:00,in
603,"Habis vaksin booster, badan pada pegel. Rebahan salah, ngga rebahan tambah pegel.",2022-02-12 01:19:18+00:00,in
604,"RT @majalah_bobo: Juru Bicara Vaksinasi COVID-19 Kementerian Kesehatan Siti Nadia Tarmizi mengatakan, vaksin booster ini juga memiliki efek…",2022-02-12 01:19:10+00:00,in
605,Kimia Farma: Masyarakat Sudah Bisa Dapatkan Vaksin Booster Sinopharm https://t.co/C85CKzlQQb,2022-02-12 01:16:37+00:00,in
606,Kimia Farma: Masyarakat Sudah Bisa Dapatkan Vaksin Booster Sinopharm https://t.co/GQTPnmAHF4,2022-02-12 01:16:36+00:00,in
607,"Update: 80% of Malay in Sarawak Darul Vaksin has taken their booster.

Low intake of boosters for Malay in other states. https://t.co/UwIwTVOPUL",2022-02-12 01:15:27+00:00,en
608,@canseryuisma Vaksin booster dimana Pontianak nya ?,2022-02-12 01:14:37+00:00,in
610,"Tweeps, info booster vaksin Pfizer atau Moderna daerah TangSel please 🙏 #vaksinbooster #Moderna #Pfizer",2022-02-12 01:13:34+00:00,in
611,"Payo Wong Kito Galo
Ayo Kito Vaksin Ke Tigo ( Booster )
Supaya Sehat Galo-galo..
.
Payo Kito Vaksinasi Bersamo-samo..
.
#poldasumsel
@DivHumas_Polri @sumsel_polda https://t.co/wwUZnzbydq",2022-02-12 01:12:44+00:00,in
612,"Info Vaksin Dosis 3/Booster Surabaya, 12 Februari di Ciputra Mall,Menyediakan 2000 Dosis! Simak Persyaratannya https://t.co/QzKlQj0TUt",2022-02-12 01:12:37+00:00,in
613,"Info Jadwal Vaksin Booster Moderna di RSUD Sidoarjo, 12 ,14 &amp; 15 Februari 2022, Cek Pendaftaran Online Disini https://t.co/MYcYLKii6e",2022-02-12 01:12:20+00:00,in
615,Masyarakat sudah bisa mendapatkan vaksin booster Sinopharm setelah mendapatkan Emergency Use Authorization (EUA). https://t.co/kdCj3bzBIj,2022-02-12 01:10:05+00:00,in
617,RT @kompascom: Cara mudah mendaftar vaksinasi via aplikasi https://t.co/uLhrPPhcCC bisa disimak di artikel ini bagi Anda yang ingin mendapa…,2022-02-12 01:04:47+00:00,in
618,"Ayo kita bantu para pahlawan yang terus berjuang melawan pandemi dengan disiplin protokol kesehatan 5M

#SinergiCegahPandemi
Akselerasi Vaksin Booster https://t.co/2gjqTFvuYw",2022-02-12 01:04:43+00:00,in
619,Vaksin booster😬,2022-02-12 01:04:16+00:00,et
620,"Gelombang ketiga Covid-19 tengah memasuki Indonesia. Masyarakat pun diimbau untuk segera melakukan vaksinasi booster. Yuk, cari tahu syarat dan cara mendapatkan vaksin booster Covid-19: https://t.co/rpBRwpGv33 #Infografis #CNNIndonesia https://t.co/MYsaKXS2fJ",2022-02-12 01:00:01+00:00,in
621,"@sdenta Ijin bertanya dok, kalau umur 35 tahun, masih bisa booster vaksin tetanus juga kan?",2022-02-12 00:58:52+00:00,in
622,"RT @AINYOUSOFUNNY: 12 orang ahli keluarga dijangkiti Covid. Tapi, alhamdullillah semua menghadapi gejala ringan dan aktif serta kuat makan…",2022-02-12 00:56:12+00:00,in
623,"RT @FORMID_eV: Hi Formidians!!🙋🏻‍♀️🙋🏻🙋🏻‍♂️

Kalian tahu ga sih kalau mulai senin kemarin kembali lagi berlaku 2G Regel untuk Innengastronom…",2022-02-12 00:54:48+00:00,in
624,"Vaksin booster dokter yg nentukan dapatnya AZ, Moderna atau Pfizer, yaudah lah pasrah aja dpt apa",2022-02-12 00:53:32+00:00,in
625,"ai lg ngantri vaksin booster di kelurahan, yg jaga anak2 kkn kampus ai dulu. rasanya pgn ai kasih wejangan adik2 whatever happened while kkn stays in there ya, those affair gausah dibawa balik ke tembalang ok???",2022-02-12 00:51:46+00:00,in
626,Kimia Farma: Masyarakat sudah bisa dapatkan vaksin booster Sinopharm https://t.co/mbYitjEC6S,2022-02-12 00:50:39+00:00,in
627,Fix abis vaksin booster badan berasa pegel-pegel 🤦🏻 #cmarsello #vaccine #effects,2022-02-12 00:49:18+00:00,in
629,"Gue pengen vaksin booster, tapi mesti nungguin sepupu gue dulu karna dia mau bareng. Udah sebulan njir nungguinnya, dia gak dateng2 ke jkt 😌",2022-02-12 00:47:42+00:00,in
630,"Nunggu antrean vaksin booster, padahal udah dateng pagi pagi buta ttp dpt no puluhan. https://t.co/wXjZSIzr2w",2022-02-12 00:47:33+00:00,in
631,Yth @satgascovid19id @KemenkesRI Istri saya penerima vaksin sinopharm (sdh dosis lengkap) melalui program dr Bank Mandiri. Saat ini sy sdh resigned Mandiri. Bagaimana caranya istri sy mendapat booster? (sdh ada notifikasi booster di peduli lindungi. Tp blm ada tgl dan lokasinya),2022-02-12 00:46:14+00:00,in
632,@incitu Nakes kan udah 3x vaksin pake vaksin booster malahan ??? Kalo masih kena penyakit itu vaksin buat apa fungsi nya ??? #CabutDaruratPandemi #hapusmandatoryvaksin #BongkarSkandalMafiaPCR,2022-02-12 00:45:40+00:00,in
633,"Booster Diklaim Manjur, Sinovac Siapkan Vaksin Khusus Lawan Omicron https://t.co/TyqOdgNqeI",2022-02-12 00:44:31+00:00,in
634,"Vaksinasi Booster Serentak, Diterima Seluruh ASN ,Non ASN dan Masyarakat Lombok Utara Terima Vaksin Booster https://t.co/CCKOOBwUTC https://t.co/npAXOyKaVA",2022-02-12 00:44:12+00:00,in
636,Efek vaksin booster 3 luar biasa meriangnya 😭 Bismillah kuat ya 😥😥😥😥😥😥,2022-02-12 00:42:08+00:00,in
637,"Vaksin Booster aman, tak perlu lagi ditunda
Nusantara Loh Jinawi https://t.co/Lgytxftu04",2022-02-12 00:41:31+00:00,in
638,"Slma 31 th periode haid, hya mngalami  telat haid saat hamil bln 1. Stelah mlahirkan n mlewati masa nifas, haid kmbali teratur. Mlewati 2x vaksin, masih aman. But stlh booster, hingga bln ke2 pasca booster,, jdi tdk teratur. Mgkinkah slh 1 efek vaksin booster? Jom nyari literatur https://t.co/PTOJfRXzp2",2022-02-12 00:41:18+00:00,in
639,"yg vaksin dosis 1&amp;2 sinovac, dapet booster apa?",2022-02-12 00:40:32+00:00,in
640,"RT @niwseir: Cukup kaget dan syok waktu mau vaksin booster di Puskesmas Kecamatan Grogol Petamburan kaga dimintain fotokopi KTP, KK, Surat…",2022-02-12 00:39:33+00:00,in
642,@achietmokoginta Tapi kayaknya emang better dibentrokin aja si covid abis vaksin booster merata,2022-02-12 00:34:57+00:00,in
644,"Habis cinta tanah air di Jogja bestie, lukanya sih b aja, pegelnya itu loo 😂👍 Padahal baru enakan ni badan selesai vaksin booster",2022-02-12 00:33:59+00:00,in
645,@nmtyas tp yg jangka 6 bln dr vaksin kedua ke booster itu bner nduk?,2022-02-12 00:33:17+00:00,in
647,"Efektivitas vaksin booster, peneliti sebut mampu ringankan gejala covid 19 varian Omicron https://t.co/04VxzhiBD9",2022-02-12 00:31:32+00:00,in
648,Bismillahirrahmanirrahim vaksin booster 🤲,2022-02-12 00:30:45+00:00,tr
650,RT @antaranews: Kimia Farma sebut masyarakat bisa dapatkan vaksin booster Sinopharm https://t.co/l4SiHkxuFC,2022-02-12 00:30:07+00:00,in
651,"RT @DidingNurislam: Saya udah vaksin lengkap - booster tapi kena covid.
Badan pada sakit, tenggorikan saki, mencret pula.

Bagaimana ini ?…",2022-02-12 00:29:57+00:00,in
652,"abis vaksin booster malah demam gini, tangan juga kebas bgt 🤕",2022-02-12 00:29:26+00:00,in
654,"@GInD0_ @utunSikumbang Vaksin 2 kali + Booster 
PCR 2 Kali n Berkali-kali,
Gini amat ya hidup🤦",2022-02-12 00:29:05+00:00,in
655,"AMIIN YA ALLAH 😭
Gw belom jalan2 samsek, blm vaksin booster, plis jangan kena https://t.co/QjvVXisUpm",2022-02-12 00:28:58+00:00,in
656,"seliweran di TL ,mengapa saya sudah Vaksin ke dua Kena covid , sudah booster kena juga , sepertinya Vaksin tak berguna , maka Berfikirlah , orang yg hidup sehat makan sehat rajin olahraga tetap saja bisa sakit , Trus bilang kalau hidup sehat bisa sakit , napa harus olaraga ? 😇",2022-02-12 00:28:57+00:00,in
657,"@LilyIfeta Coba di kpmpres ly, habis vaksin booster kah?",2022-02-12 00:28:38+00:00,in
658,Efek vaksin booster berasa kyak digebukin sebadan 🤕,2022-02-12 00:27:49+00:00,in
659,"Seorang aminah akhirnya tumbang grgr vaksin booster:"")",2022-02-12 00:27:40+00:00,in
660,"Kemarin siang tuh udah ngerencanain besok pagi mau sarapan bubur asin sama jajan cireng.
Tau2 pas sore sampe pagi ini terkapar ga bisa bangun dari kasur efek vaksin booster.",2022-02-12 00:27:34+00:00,in
661,"Saling melindungi dengan mengingatkan untuk selalu mematuhi protokol kesehatan

#SinergiCegahPandemi
Akselerasi Vaksin Booster https://t.co/YJ2pzcN65w",2022-02-12 00:24:40+00:00,in
662,"@ceyipentol vaksin terakhir kpn cey  ?? 
aku bulan mei ntar booster",2022-02-12 00:24:40+00:00,in
663,Kimia Farma sebut masyarakat bisa dapatkan vaksin booster Sinopharm https://t.co/l4SiHkxuFC,2022-02-12 00:24:34+00:00,in
664,"RT @exfrez: @bntlbusuk @NurMariam_ @brgsjks @Khairykj Aku pun berbelah bg nk ckp apa. Bg aku vaksin ni bgus, tngok lah dulu brapa ramai mat…",2022-02-12 00:20:45+00:00,in
665,Info vaksin booster hari ini dong min kategori dibawah 60th @PRFMnews,2022-02-12 00:17:26+00:00,in
666,Mari vaksin booster awak e gak karu karuan 🤕🤒,2022-02-12 00:14:13+00:00,in
667,"@MIrvanDarwin1 @__Sridiana_3va @endridok @berlian_idris lha kan vaksin bukan buat mencegah, mau udah booster ke 10 juga tetap aja potensi kena itu ada, vaksin itu syarat biar bisa piknik dan ngemall",2022-02-12 00:14:05+00:00,in
668,"Pelaksanaan Vaksinasi Booster Dosis 3 Personil Polres Belitung Timur 
Guna Percepatan Vaksinasi Dengan Target Anggota Polri
Bertempat Di Joglo Patriatama Polres Belitung Timur 
AYOO SEGERA VAKSIN

@poldababel
@humasresbeltim
@divisihumaspolri
@polsek_manggar https://t.co/vGK1H7K0iW",2022-02-12 00:10:42+00:00,in
669,@beyondagnes Aku vaksin booster rabu sampai skrng masih njarem 🙂,2022-02-12 00:08:46+00:00,in
670,"Anjir berasa banget ini efek vaksin booster, kacau.",2022-02-12 00:08:40+00:00,in
672,"Selamat pagi Rekan PPSDM Ketenagakerjaan. Selamat berakhir pekan. Jangan lupa luangkan waktu untuk vaksin booster ya… 🙂
.
#lebihcerdaslebihunggul 
#ppsdmketenagakerjaan
#kemnakerRI
#kemanakercorpu https://t.co/f9RP9eYDiU",2022-02-12 00:06:06+00:00,in
673,"Obrolan Aku &amp; uthi kemarin : tapi kita gapapa tuh abis vaksin booster az

Malemnya kita berdua menggil dan demam sampe skg, Lol",2022-02-12 00:02:59+00:00,in
674,"Asli abis vaksin booster, pegelnya ga ilang².",2022-02-12 00:00:53+00:00,in
675,"Abis vaksin booster, bekas suntikan pegel bgt.",2022-02-12 00:00:37+00:00,in
676,"Meningkatnya kasus Covid-19 di Merauke, maka Pemkab Merauke akan efektifkan vaksinasi booster, vaksin dosis ke-3 kepada masyarakat Marauke. #AwasProvokasiKKB #PapuaIndonesia https://t.co/fPyoiNvW3z",2022-02-12 00:00:02+00:00,in
677,abis vaksin booster kena demam 2 hari 👍,2022-02-11 23:59:40+00:00,in
678,"""Tuh lihat Denmark yang sudah berdamai dengan Covid19"". Tidak lihat bahwa di Denmark populasi yg sudah mendapat double vaksin 81%  dan booster 61%. Fasilitas kesehatan juga kuat.",2022-02-11 23:57:39+00:00,in
679,"Walaupun badan masih agak mriyang dan pegel setelah vaksin booster harus bisa yuk nganter ibu berobat keluar kota, yg penting ibu sehat dulu ☺",2022-02-11 23:56:43+00:00,in
680,"RT @rykarlsen: @poetryofdaisea Booster dapat November 2021, kak Daisy. Yang sudah 2x vaksin dan kena COVID-19 ga perlu booster tapi kalau m…",2022-02-11 23:56:26+00:00,in
681,"Selamat Pagi, Happy weekend sob.

Sorry banyak notif yg tdk saya respon dari smalam, kondisi drop stlh booster.
Sy demam,  muncul flu 6jam stlh bosster, badan kyk dipukul2, tangan tempat di vaksin nyeri banget smpi skrg.

Ada yg rasa efek kyk saya ga, gmana ngatasinx,

Thankyou🙏🏻",2022-02-11 23:55:11+00:00,in
682,habis vaksin booster laperan pengen jajan terus gpgen nasi..,2022-02-11 23:55:11+00:00,in
683,"VAKSIN BOOSTER AMAN
Nusantara Loh Jinawi https://t.co/ufVnGuczEu",2022-02-11 23:54:43+00:00,in
684,Gue yg vaksin kedua sih demam seminggu wkwkwkwk anjengs. Btw yg mau booster bisa langsung ke puskes cilandak timur. Asal udh ada ticket vaksin ketiga di PL. Dateng jam 7 ambil no jam 8 mulai. Sehari kuota cuma 50. Bawa ktp aja ama nunjukin followers.,2022-02-11 23:52:35+00:00,in
685,"ngasih WFH gak mau, pas human source nya tumbang semua, bingung. 
Ngasih vaksin booster ntar ntaran. Yeuuu",2022-02-11 23:52:17+00:00,in
